Id,Name,longitude,lattitude,date,cal,time,zone,dst
147, Yrrah (Harry Lammertink), 5:58:0:E, 52:13:0:N, 1932/11/7, G, 7:00, 0.32555556, 0
148, Peter Struycken, 4:18:0:E, 52:06:00:N, 1939/1/5, G, 17:40, 0.333333, 0


